GDP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cameroon,2003.192434,2003.972932,2020.09823,2001.792784,2017.815915,2049.283863,2094.095413,2153.276139,2216.751455,2286.894949,2359.794491
Canada,35644.47329,36002.32901,35978.20955,34545.50306,35219.34297,35741.472,35992.83272,36122.61488,36643.5601,37222.30025,37791.7573
Cape Verde,3071.656112,3289.425317,3444.570539,3523.461589,3655.839336,3787.64164,3896.041139,4000.570983,4125.057494,4260.184576,4411.72175
Cayman Islands,49502.19813,50165.06904,49381.56138,45140.63158,43266.91917,43343.75931,,,,,
Central African Rep.,693.3385857,711.0633268,711.4406529,697.9347095,701.6569599,707.1383689,718.2646332,731.1077123,756.0723653,776.7260479,800.9750588
Chad,1708.937371,1670.295077,1656.476273,1596.656892,1759.973441,1726.137651,1768.882018,1865.043598,2011.181889,2122.380487,2140.022071
Channel Islands,,,,,,,,,,,
Chile,12845.60478,13379.7443,13653.29962,13401.32151,14038.37229,14735.13631,15403.76081,16023.14346,16617.68843,17232.09022,17887.81412
China,5502.395991,6249.291445,6816.668675,7408.620677,8143.482408,8857.841096,9501.574246,10214.60092,11001.73336,11878.87626,12827.86552
Christmas Island,,,,,,,,,,,
Cocos Island,,,,,,,,,,,
Colombia,6648.236012,7022.768022,7186.091011,7219.102653,7417.802828,7817.963263,8035.656382,8266.42903,8538.289183,8816.042949,9103.778017
Comoros,1054.063011,1037.458491,1026.025345,1023.113264,1022.62455,1023.898606,1027.408543,1041.949243,1061.185579,1080.614286,1100.405563
"Congo, Dem. Rep.",338.2700053,348.9690897,359.6585283,359.0802231,373.6323918,387.7058914,403.164594,423.8927135,437.9642401,454.4971808,471.18955
"Congo, Rep.",3738.392083,3575.551407,3668.406779,3831.288244,4049.163661,4069.650354,4106.511739,4274.568577,4426.113876,5227.052562,5243.222653
Cook Islands,19153.29105,18920.33374,18111.31839,17345.91105,17270.08499,17747.04863,,,,,
Costa Rica,9231.718534,9764.115238,9831.547552,9547.773224,10122.52882,10427.3115,10827.67873,11159.25677,11523.06363,11910.12831,12310.19468
Cote d'Ivoire,1540.277647,1519.11927,1509.227508,1520.216929,1512.080876,1398.662765,1491.516312,1563.432112,1638.853297,1719.312012,1799.561896
Croatia,13891.23996,14607.32445,14918.45074,13897.72109,13615.80718,13658.88732,13388.99028,13362.21249,13562.6455,13833.8986,14110.57655
Cuba,8292.962463,8892.396216,9259.94522,9397.700075,9626.113792,9890.804257,10197.41919,,,,
Cyprus,25016.35441,25664.07214,25900.62419,24730.90375,24436.9442,23934.4686,23092.08979,,,,
Czech Rep.,21640.22104,22800.99821,23294.87632,22061.30675,22526.65908,22902.27003,22565.29754,22585.64588,22913.18621,23501.60719,24119.19754
Czechoslovakia,,,,,,,,,,,
Denmark,34664.66575,35086.62945,34629.1012,32455.54682,32828.74123,33036.76639,32731.29039,32940.62712,33270.3759,33668.65502,34073.02768
Djibouti,2001.49589,2045.869793,2105.685822,2151.379829,2165.763841,2200.907658,2244.602414,2291.842746,2340.035576,2401.348601,2471.591531
Dominica,8897.035864,9253.933843,9982.168025,9909.975678,9988.372881,10187.17184,10232.7188,10361.07795,10513.19546,10688.32112,10885.12522
Dominican Rep.,5624.154023,5992.593901,6195.691082,6296.029537,6663.746169,6839.009607,6978.896573,7008.0083,7119.846297,7314.594763,7544.12823
East Germany,,,,,,,,,,,
Ecuador,6721.100414,6767.331536,7091.735864,7059.57492,7182.70775,7641.520196,7903.09487,8132.472938,8327.25556,8509.826259,8689.990612
Egypt,5296.187368,5494.335078,5762.259443,5898.226086,6059.975994,6037.189236,6013.821463,6014.196338,6088.216313,6298.548714,6578.092547
El Salvador,5595.866571,5782.155861,5827.17661,5622.9138,5677.271041,5765.704931,5833.630228,5901.513016,5970.81019,6047.57733,6131.114972
Equatorial Guinea,11798.33235,13607.1215,15059.59071,14122.77348,13383.7634,13603.33837,13499.21155,12864.91257,12422.56245,11183.48716,11198.65793
Eritrea,655.2413946,642.8546845,562.014933,566.1321671,561.0500065,591.2246811,613.7169638,615.7120036,611.0064782,604.8785111,600.5464018
Eritrea and Ethiopia,,,,,,,,,,,
Estonia,18374.14496,19784.24497,18983.77653,16318.66521,16865.75955,18261.74253,18858.05382,19422.62889,20038.13285,20711.65635,21443.21142
Ethiopia,644.1948863,704.1918636,765.9412121,824.7744809,871.8371156,917.4825608,958.694706,997.0813753,1036.994692,1080.615955,1126.072336
Faeroe Islands,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,
Fiji,4249.442403,4177.2579,4185.997262,4099.109755,4074.620261,4130.115541,4195.034972,4266.659344,4332.07159,4396.452497,4461.788286
Finland,31684.20267,33226.46458,33162.40273,30188.47491,31053.39703,31762.31774,31551.95345,31568.11731,31789.09971,32114.2249,32621.04729
